,Zip,City,State,Metro,CountyName,SizeRank,2018-04-01,1_Year,1_Gain,2_Year,2_Gain,3_Year,3_Gain,4_Year,4_Gain,5_Year,5_Gain,6_Year,6_Gain,7_Year,7_Gain,8_Year,8_Gain,9_Year,9_Gain,10_Year,10_Gain
0,1001,Agawam,MA,Springfield,Hampden,5851,223600.0,227545.04,0.02,228539.23,0.02,228789.77,0.02,228852.91,0.02,228868.82,0.02,228872.83,0.02,228873.84,0.02,228874.1,0.02,228874.16,0.02,228874.18,0.02
1,1002,Amherst,MA,Springfield,Hampshire,4200,353300.0,369374.98,0.05,373882.07,0.06,375145.76,0.06,375500.07,0.06,375599.41,0.06,375627.27,0.06,375635.07,0.06,375637.26,0.06,375637.88,0.06,375638.05,0.06
2,1005,Barre,MA,Worcester,Worcester,11214,220700.0,227493.36,0.03,228571.04,0.04,228742.0,0.04,228769.12,0.04,228773.42,0.04,228774.11,0.04,228774.22,0.04,228774.23,0.04,228774.24,0.04,228774.24,0.04
3,1007,Belchertown,MA,Springfield,Hampshire,6851,270600.0,271823.35,0.0,272040.52,0.01,272079.08,0.01,272085.92,0.01,272087.13,0.01,272087.35,0.01,272087.39,0.01,272087.4,0.01,272087.4,0.01,272087.4,0.01
4,1008,Blandford,MA,Springfield,Hampden,14548,214200.0,221730.15,0.04,221844.61,0.04,221846.35,0.04,221846.38,0.04,221846.38,0.04,221846.38,0.04,221846.38,0.04,221846.38,0.04,221846.38,0.04,221846.38,0.04
5,1010,Brimfield,MA,Springfield,Hampden,11703,250900.0,261995.06,0.04,263521.2,0.05,263731.12,0.05,263760.0,0.05,263763.97,0.05,263764.52,0.05,263764.59,0.05,263764.6,0.05,263764.6,0.05,263764.6,0.05
6,1011,Chester,MA,Springfield,Hampden,14476,149100.0,148691.75,-0.0,148684.81,-0.0,148684.69,-0.0,148684.69,-0.0,148684.69,-0.0,148684.69,-0.0,148684.69,-0.0,148684.69,-0.0,148684.69,-0.0,148684.69,-0.0
7,1013,Chicopee,MA,Springfield,Hampden,4569,177400.0,178957.14,0.01,179167.48,0.01,179195.89,0.01,179199.73,0.01,179200.25,0.01,179200.32,0.01,179200.33,0.01,179200.33,0.01,179200.33,0.01,179200.33,0.01
8,1020,Chicopee,MA,Springfield,Hampden,2695,189800.0,190356.66,0.0,190447.63,0.0,190462.5,0.0,190464.93,0.0,190465.33,0.0,190465.39,0.0,190465.4,0.0,190465.4,0.0,190465.4,0.0,190465.4,0.0
9,1026,Cummington,MA,Springfield,Hampshire,14595,220800.0,222338.39,0.01,222345.01,0.01,222345.04,0.01,222345.04,0.01,222345.04,0.01,222345.04,0.01,222345.04,0.01,222345.04,0.01,222345.04,0.01,222345.04,0.01
10,1027,Easthampton,MA,Springfield,Hampshire,5268,254900.0,253404.57,-0.01,253129.62,-0.01,253079.07,-0.01,253069.78,-0.01,253068.07,-0.01,253067.75,-0.01,253067.69,-0.01,253067.68,-0.01,253067.68,-0.01,253067.68,-0.01
11,1028,East Longmeadow,MA,Springfield,Hampden,6542,252400.0,260031.99,0.03,261943.45,0.04,262422.18,0.04,262542.08,0.04,262572.11,0.04,262579.63,0.04,262581.51,0.04,262581.99,0.04,262582.1,0.04,262582.13,0.04
12,1030,Agawam,MA,Springfield,Hampden,7802,239300.0,245903.32,0.03,247372.47,0.03,247699.33,0.04,247772.05,0.04,247788.23,0.04,247791.83,0.04,247792.63,0.04,247792.81,0.04,247792.85,0.04,247792.86,0.04
13,1033,Granby,MA,Springfield,Hampshire,10028,247900.0,245728.72,-0.01,245507.59,-0.01,245485.06,-0.01,245482.77,-0.01,245482.54,-0.01,245482.51,-0.01,245482.51,-0.01,245482.51,-0.01,245482.51,-0.01,245482.51,-0.01
14,1034,Tolland,MA,Springfield,Hampden,13563,261700.0,266804.5,0.02,267419.2,0.02,267493.23,0.02,267502.14,0.02,267503.21,0.02,267503.34,0.02,267503.36,0.02,267503.36,0.02,267503.36,0.02,267503.36,0.02
15,1035,Hadley,MA,Springfield,Hampshire,10440,329200.0,335475.7,0.02,336403.06,0.02,336540.1,0.02,336560.35,0.02,336563.34,0.02,336563.78,0.02,336563.85,0.02,336563.85,0.02,336563.86,0.02,336563.86,0.02
16,1036,Hampden,MA,Springfield,Hampden,10956,263700.0,259221.9,-0.02,258531.89,-0.02,258425.57,-0.02,258409.18,-0.02,258406.66,-0.02,258406.27,-0.02,258406.21,-0.02,258406.2,-0.02,258406.2,-0.02,258406.2,-0.02
17,1038,Hatfield,MA,Springfield,Hampshire,12854,308800.0,298655.32,-0.03,297448.06,-0.04,297304.39,-0.04,297287.3,-0.04,297285.26,-0.04,297285.02,-0.04,297284.99,-0.04,297284.99,-0.04,297284.99,-0.04,297284.99,-0.04
18,1040,Holyoke,MA,Springfield,Hampden,1789,191400.0,194044.14,0.01,194698.59,0.02,194860.57,0.02,194900.66,0.02,194910.59,0.02,194913.04,0.02,194913.65,0.02,194913.8,0.02,194913.84,0.02,194913.85,0.02
19,1050,Huntington,MA,Springfield,Hampshire,12876,204100.0,205911.17,0.01,205949.35,0.01,205950.15,0.01,205950.17,0.01,205950.17,0.01,205950.17,0.01,205950.17,0.01,205950.17,0.01,205950.17,0.01,205950.17,0.01
